statefips,year,ajd_total,jdd_total,ajd_female,ajd_male,jdd_female,jdd_male,pop_total,pop_female,pop_male
31,1993,-2208,22814,-781.9158793389797,-891.0840586423874,9724.540055394173,10367.45952689648,1611687,823872,787815
32,1993,-8971,28017,-4024.743335008621,-3398.256734013557,11757.81239366531,13918.18875074387,1351367,663824,687543
33,1993,-1873,22631,-1464.91593503952,-674.0843033790588,9485.99137878418,10991.0086517334,1117784,570449,547335
34,1993,20590,160455,1522.083760261536,11099.91496145725,62704.82456970215,81682.17472839355,7880508,4069042,3811466
35,1993,-6039,25753,-2249.441615819931,-2733.558337211609,10942.40454626083,13250.59602880478,1595442,809637,785805
36,1993,69782,383198,25236.98834204674,40422.01186692715,165308.313621521,195707.6863174438,18246653,9481706,8764947
37,1993,-10289,125281,-10261.23038610816,-8442.769181251526,47722.29976940155,55465.70003843307,6897214,3547167,3350047
38,1993,-2589,7182,-1322.996129512787,-694.0039580464363,2672.32248032093,3168.677551627159,638223,319839,318384
39,1993,-1114,190541,-2657.351937770844,3653.351103659719,83156.50754928589,94399.49297904968,11029431,5704683,5324748
40,1993,169,54585,-1845.319673120975,-1335.680233173072,22565.0877468586,26171.91174530983,3220517,1648896,1571621
41,1993,-4337,62904,-2349.319788396358,-2533.680178523064,27309.18214595318,32144.81893849373,2991755,1518072,1473683
42,1993,4685,208530,-2464.51874256134,5582.518877267838,90867.4961271286,106312.5064754486,12049450,6264075,5785375
44,1993,298,22124,620.1761474609375,978.8238983154297,9560.866363525391,11544.13348388672,1012581,526312,486269
45,1993,-14406,57973,-4234.550682961941,-3626.449081376195,25434.8065071106,29064.19392108917,3620464,1865729,1754735
46,1993,-3167,9329,-1674.430165380239,-930.5699327588081,3505.11932516098,3310.880440950394,712801,360870,351931
47,1993,25,96588,-2026.934955954552,1171.934890910983,39673.98590183258,48500.01524662971,5049742,2613911,2435831
48,1993,-50268,377450,-29478.31082258094,-23126.68919074163,155034.00005126,191815.9980311394,17759738,9003058,8756680
49,1993,-3986,38116,-1464.168534755707,-2342.832231521606,16198.00624859333,19994.99431991577,1836799,922391,914408
50,1993,-341,9654,-148.2353454828262,85.23533415794373,4131.331320047379,4804.668467521667,572751,292119,280632
51,1993,-12337,116583,-7783.728890657425,-693.2712196707726,48497.6647695899,56293.33691215515,6414307,3265365,3148942
53,1993,-10974,113684,-9523.853227034211,-11409.14708357304,42659.91813564301,53064.08273458481,5160757,2598309,2562448
54,1993,1351,26382,-150.69806599617,731.6980791687965,8165.404095888138,13716.59611082077,1806451,936059,870392
55,1993,-11705,69491,-7181.344565272331,-3546.655007600784,30217.10977900028,34407.89080357552,5025398,2561347,2464051
56,1993,3,7226,-222.1611506938934,134.1611378192902,2747.419278144836,3243.580758094788,466251,232383,233868
72,1993,0,0,0,0,0,0,0,0,0
,1993,0,0,0,0,0,0,0,0,0
1,1994,-7630,59453,-4585.476978838444,-6312.522969603539,23993.99511003494,26680.005215168,4214202,2190193,2024009
2,1994,-163,8074,153.7003853321075,625.299635887146,3427.476576089859,3687.523417472839,599432,284289,315143
4,1994,-5825,77047,-2742.652584075928,-3172.34693145752,33266.13954687119,38103.86234521866,4065440,2052350,2013090
5,1994,-7806,32182,-4200.563131600618,-3188.436902165413,12776.59742164612,14863.40241098404,2456303,1268800,1187503
6,1994,96204,679350,40446.20865786076,50631.7943636775,295370.7432148457,352933.2491502762,31274928,15635748,15639180
8,1994,-15841,68529,-1760.032131999731,-5218.968194827437,22714.61635375023,23355.38232350349,3613734,1813480,1800254
9,1994,5098,64426,1910.697845458984,1189.301607131958,29381.45333862305,29696.54641723633,3309175,1707354,1601821
10,1994,-1624,12345,-864.5865936279297,-974.4134750366211,5763.685699462891,5461.313659667969,706378,363357,343021
11,1994,1844,17748,877.8020629882813,521.1978759765625,8948.3212890625,7933.67724609375,595301,316682,278619
12,1994,-54797,302451,-25607.37895512581,-26173.62172424793,133839.0722382069,155064.9282779694,13927185,7166538,6760647
13,1994,-27762,128001,-11717.40468543768,-12188.59443117678,56585.5730022192,59699.43270885944,6978240,3581130,3397110
15,1994,2895,23788,0,0,0,0,1172838,576996,595842
16,1994,-5946,14230,-3227.822527289391,-2992.177566409111,5574.221518278122,6093.778486728668,1108768,555364,553404
17,1994,-23255,191462,-10910.42337609828,-9268.575599908829,85085.28315019608,92275.71336269379,11809579,6060809,5748770
18,1994,-12604,80420,-3680.509262502193,-6358.490456238389,36918.06477284431,37897.93629050255,5739019,2946589,2792430
19,1994,-5393,35000,-3227.714922323823,-1856.285095058382,13757.07033610344,15588.92961740494,2836972,1456827,1380145
20,1994,-4320,33875,-1879.256012305617,-1769.744007736444,14482.7984354496,15614.20100605488,2556547,1299374,1257173
21,1994,-14379,49341,-6744.327638566494,-4714.672307193279,16909.39581787586,23389.60402023792,3812206,1961883,1850323
22,1994,-6228,64365,-3148.243605360389,-1898.756383657455,26398.60614395142,30509.3948071003,4316428,2235497,2080931
23,1994,-5072,17200,-2418.877157211304,-2608.122848510742,7527.877544403076,8319.122459411621,1242302,637704,604598
24,1994,-5665,87179,-5584.196243286133,-3902.804119706154,35018.19955635071,41326.80293655396,4971889,2563876,2408013
25,1994,-7076,115171,-4369.014443397522,15.01384568214417,51964.75637435913,57347.24605178833,6060569,3147354,2913215
26,1994,-20615,142049,-11802.33049732447,-6387.670652002096,59685.50497770309,75155.4958486557,9540114,4891939,4648175
27,1994,-19092,72657,-7636.620212316513,-6592.380274295807,31519.25496482849,34582.74517250061,4555954,2314608,2241346
28,1994,-7965,38083,-610.8110653460026,1672.810580134392,14606.72198855877,18866.2775080204,2655100,1380859,1274241
29,1994,-8852,84474,-4726.781024038792,-3681.218615829945,35093.25474762917,40231.74489068985,5271175,2724383,2546792
30,1994,-1810,10899,-905.2879350781441,-518.7120375037193,4379.306625008583,4905.693482875824,844761,424896,419865
31,1994,-4284,20405,-2315.624323487282,-1663.375718414783,8063.265724927187,9117.733698129654,1625590,830465,795125
32,1994,-5656,29584,-2253.15776515007,-3055.842237949371,13054.14252233505,14876.85697412491,1411215,693838,717377
33,1994,-3310,17970,-2039.724559783936,-1428.275260925293,7869.024368286133,8886.975563049316,1129458,576025,553433
34,1994,-6454,148471,-2951.516822814941,-3210.48397064209,62616.34846496582,74334.65382385254,7948915,4103246,3845669
35,1994,-3491,22948,-1591.435039520264,-1388.565102100372,9035.705921173096,11533.29358673096,1636453,830492,805961
36,1994,6372,327997,-3003.84646987915,9212.845694065094,142485.1293106079,168285.8710536957,18374954,9540088,8834866
37,1994,-15576,107389,-7158.435719963163,-9680.564594447613,47348.30393594503,50795.69572305679,7042818,3621635,3421183
38,1994,-1450,7584,-407.1075827479362,-515.8924294449389,3043.735283792019,3235.264733195305,641216,321249,319967
39,1994,-19277,166580,-11143.21603399515,-7334.783805847168,73806.96495193243,82509.03155612946,11101140,5737019,5364121
40,1994,-3965,48234,-1237.669474124908,-1235.330582141876,20565.69415950775,22665.30394017696,3252285,1663653,1588632
41,1994,-4933,48873,-2172.949852585793,-2652.04985666275,21689.22351312637,23737.77683258057,3060367,1551529,1508838
42,1994,-16707,175342,-13074.89273661375,-6805.106056153774,77104.19751003385,86892.80184149742,12119724,6296080,5823644
44,1994,-1654,15517,-566.7917575836182,-1004.208400726318,7470.997985839844,7682.002944946289,1015112,527628,487484
45,1994,-4779,56144,-2800.711041271687,-415.2888277173042,23352.60417485237,29131.39483976364,3663314,1890553,1772761
46,1994,-2153,8772,-822.6208893954754,-866.3789886236191,3424.473825752735,3287.526061177254,722159,365424,356735
47,1994,-21290,80296,-5735.947449684143,-5805.052586376667,34833.21749258041,39319.78206765652,5137584,2657123,2480461
48,1994,-38922,362215,-18954.54088562727,-20234.45735150576,155767.6829733849,175127.3139168024,18161612,9199451,8962161
49,1994,-4877,32081,-1623.858770132065,-2598.141103297472,13662.33029389381,16083.67013216019,1898404,952501,945903
50,1994,-2568,10912,-1165.663799762726,-694.3360895216465,5600.375801086426,4382.624252319336,577748,294516,283232
51,1994,-20722,103383,-12146.89679244161,-7252.102641820908,42485.52323621511,48644.47571873665,6509630,3314457,3195173
53,1994,-2556,95382,-1601.617435216904,-2333.383153438568,43007.20402407646,46690.79727125168,5278842,2656901,2621941
54,1994,-2433,20663,-1980.255387701094,-1155.744547784328,6254.859060883522,9576.140816926956,1817539,940430,877109
55,1994,-8687,72055,-5844.125055700541,-3470.874704360962,31762.02859401703,34789.97223138809,5084889,2589246,2495643
56,1994,-3061,6819,-1408.812641859055,-1152.187316149473,2688.266514778137,2969.733614206314,473081,235560,237521
72,1994,0,0,0,0,0,0,0,0,0
,1994,0,0,0,0,0,0,0,0,0
1,1995,-19471,61524,-8437.167253851891,-8406.83302372694,26853.28125846386,30023.71985328197,4260229,2212954,2047275
2,1995,-3745,8048,-1877.532196760178,-1715.467812776566,3351.771906375885,3526.228124380112,603308,287115,316193
4,1995,-34949,79345,-17159.59298866987,-17092.40757066011,32928.88219642639,42127.11972808838,4245089,2140400,2104689
